Dezernat,Amt / Dienststelle,Produkt,Produktbezeichnung,Produktgruppe,Produktgruppenbezeichnung,Produktbereich,Produktbereich Bezeichnung,Dezernatsbezeichnung,Teilhaushalte,Teilhaushalte Bezeichnung,Amt / Dienststelle Bezeichnung,Ergebnis 2021 (Erträge),Ergebnis 2021 (Aufwendungen),Ergebnis 2021 (Saldo/Zuschussbedarf/Erträge - Aufwendungen),Ansatz 2022 (Erträge),Ansatz 2022 (Aufwendungen),Ansatz 2022 (Saldo/Zuschussbedarf/Erträge - Aufwendungen),Ansatz 2023 (Erträge),Ansatz 2023 (Aufwendungen),Ansatz 2023 (Saldo/Zuschussbedarf/Erträge - Aufwendungen),Ansatz 2024 (Erträge),Ansatz 2024 (Aufwendungen),Ansatz 2024 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)
"DEZ-I  ",AMT-157,112402,"Verw. u. Bewirtsch.bebauter Grundstück                                                              ",1124,"Gebäudemanagement, Techn. Immobilienman.                                                            ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","157 Ortsverw. Ebnet                                                                                 ","1174,6","-13251,2","-12076,6",7616,"-14863,2","-7247,2",7616,"-13901,1","-6285,1",7616,"-12469,3","-4853,3"
"DEZ-I  ",AMT-158,112402,"Verw. u. Bewirtsch.bebauter Grundstück                                                              ",1124,"Gebäudemanagement, Techn. Immobilienman.                                                            ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","158 Ortsverw. Kappel                                                                                ","2904,8","-27573,8",-24669,6080,"-27371,2","-21291,2","6106,6","-28999,2","-22892,7","6106,6","-29927,4","-23820,8"
"DEZ-IV ",AMT-640,112402,"Verw. u. Bewirtsch.bebauter Grundstück                                                              ",1124,"Gebäudemanagement, Techn. Immobilienman.                                                            ",11,"Innere Verwaltung                                                                                   ","Dezernat IV BM Breiter                                                                              ",THH_22,"THH 22 Amt f. Liegenschaften, Wgwesen                                                               ","640 Amt f. Liegenschaften, Wgwesen                                                                  ","3374129,9","-2998539,1","375590,8","3406416,8","-3291678,7","114738,1","3451996,2","-3123122,4","328873,8","3451996,2","-3144490,1","307506,2"
"DEZ-V  ",AMT-650,112402,"Verw. u. Bewirtsch.bebauter Grundstück                                                              ",1124,"Gebäudemanagement, Techn. Immobilienman.                                                            ",11,"Innere Verwaltung                                                                                   ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_25,"THH 25 Gebäudemanagement Freiburg                                                                   ","650 Gebäudemanagement Freiburg                                                                      ","5039042,9","-82196830,9",-77157788,"1682018,7","-82526135,7",-80844117,"2658922,1",-94403567,"-91744644,9","2788045,2",-97756572,"-94968526,8"
"DEZ-II ",AMT-820,112402,"Verw. u. Bewirtsch.bebauter Grundstück                                                              ",1124,"Gebäudemanagement, Techn. Immobilienman.                                                            ",11,"Innere Verwaltung                                                                                   ","Dezernat II BMin Buchheit                                                                           ",THH_10,"THH 10 Forstamt                                                                                     ","820 Forstamt                                                                                        ",55072,"-47885,3","7186,6",26450,"-18796,3","7653,7",26450,"-18796,3","7653,7",26450,"-18796,4","7653,6"
"DEZ-V  ",AMT-660,112501,"Pla.-Bau-Unterhal.leist.auf Anf.Grünanl.                                                            ",1125,"Grünanlagen, Werkstätten und Fahrzeuge                                                              ",11,"Innere Verwaltung                                                                                   ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","286875,5","-296905,6","-10030,1","340748,1","-416328,5","-75580,4",340791,"-399089,8","-58298,8","340968,2","-567531,9","-226563,7"
"DEZ-V  ",AMT-013,112600,"Verwaltung(Dez.V,APS,BRA,StPlA,PGD)                                                                 ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_24,"THH 24 Planung, Entwicklung, Bauen                                                                  ","013 Amt f. Projektentw., Stadtern.                                                                  ",0,"-526255,7","-526255,7",0,"-507960,6","-507960,6",0,"-517530,4","-517530,4",0,"-543946,9","-543946,9"
"DEZ-I  ",AMT-110,112600,"Verwaltung ZEUS für betr. DS                                                                        ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","110 HPA/OB Büro/RIKP/NHM/PIWI/RbW                                                                   ",0,"-65990,3","-65990,3","1,3","-56552,4","-56551,1","0,2","-14440,2",-14440,"0,2",-14762,"-14761,7"
"DEZ-I  ",AMT-042,112601,"IT Beschaffung (Dienstl.)                                                                           ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","042 Vergabemanagemnt                                                                                ",15732,"-611370,1","-595638,1",17500,-531151,-513651,17500,"-585832,7","-568332,7",17500,"-599975,7","-582475,7"
"DEZ-I  ",AMT-110,112601,"Zentraler Einkauf                                                                                   ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","110 HPA/OB Büro/RIKP/NHM/PIWI/RbW                                                                   ","135176,4","-869676,9","-734500,5","131649,6",-829800,"-698150,4","131650,1","-1046067,9","-914417,8","131649,9","-1081223,3","-949573,4"
"DEZ-IV ",AMT-120,112601,"zentrale Dienstleistungen                                                                           ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat IV BM Breiter                                                                              ",THH_16,"THH 16 Amt f. Bürgerservice, Infover.                                                               ","120 Amt f. Bürgerservice, Infoman.                                                                  ",0,0,0,0,0,0,0,0,0,0,0,0
"DEZ-I  ",AMT-180,112601,"IT Beschaffung (Dienstl.)                                                                           ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","180 Digitales und IT                                                                                ","1633,1","-99109,9","-97476,8","2195,4","-96744,6","-94549,3","2195,2","-116106,9","-113911,7","2195,2","-125011,4","-122816,2"
"DEZ-I  ",AMT-110,112602,"Boten-, Zustell- und Postdienste                                                                    ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","110 HPA/OB Büro/RIKP/NHM/PIWI/RbW                                                                   ","29424,9","-1408406,9",-1378982,"35217,2","-1500921,5","-1465704,3","35215,6","-1474549,9","-1439334,2","35215,6","-1491688,1","-1456472,5"
"DEZ-I  ",AMT-110,112603,"Hausdruckerei und Vervielfältigung                                                                  ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","110 HPA/OB Büro/RIKP/NHM/PIWI/RbW                                                                   ","3660,7","-220440,3","-216779,6","8981,1","-227718,1",-218737,8981,"-208647,1","-199666,1",8981,"-212872,7","-203891,7"
"DEZ-I  ",AMT-110,112604,"Zent.Regist./Hausd./Schreib-u.Serviceb.                                                             ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","110 HPA/OB Büro/RIKP/NHM/PIWI/RbW                                                                   ","15448,9","-1611164,8",-1595716,"44190,2",-1533263,"-1489072,8","14171,7",-1543828,"-1529656,3","14171,6","-1591145,2","-1576973,6"
"DEZ-IV ",AMT-320,112604,"Kantine AföO                                                                                        ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat IV BM Breiter                                                                              ",THH_18,"THH 18 Amt f. öffentliche Ordnung                                                                   ","320 Amt f. öffentliche Ordnung                                                                      ",0,0,0,0,0,0,0,0,0,0,0,0
"DEZ-V  ",AMT-650,112604,"Kantine Rathaus im Stühlinger (RiS)                                                                 ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_25,"THH 25 Gebäudemanagement Freiburg                                                                   ","650 Gebäudemanagement Freiburg                                                                      ","463156,3","-960168,9","-497012,6",635000,"-1180385,6","-545385,6",645819,"-1268563,6","-622744,6","645815,8","-1317780,9","-671965,1"
"DEZ-IV ",AMT-120,112605,"Dienstleistungen der Statistik                                                                      ",1126,"Zentrale Dienstleistungen                                                                           ",11,"Innere Verwaltung                                                                                   ","Dezernat IV BM Breiter                                                                              ",THH_16,"THH 16 Amt f. Bürgerservice, Infover.                                                               ","120 Amt f. Bürgerservice, Infoman.                                                                  ",0,"-140389,9","-140389,9",0,"-260029,9","-260029,9",0,"-413313,8","-413313,8",0,"-399352,6","-399352,6"
"DEZ-I  ",AMT-130,113000,"Externe und Interne Kommunikation                                                                   ",1130,"Presse- und Öffentlichkeitsarbeit                                                                   ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_05,"THH 5 Presse- und Öffentlichkeitsreferat                                                            ","130 Presse- und Öffentlichkeitsreferat                                                              ","67150,6","-1374970,3","-1307819,6",82660,"-1357833,4","-1275173,4",82660,"-1483655,4","-1400995,4",82660,"-1482599,8","-1399939,8"
"DEZ-I  ",AMT-110,113002,"% Internetangebot                                                                                   ",1130,"Presse- und Öffentlichkeitsarbeit                                                                   ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","110 HPA/OB Büro/RIKP/NHM/PIWI/RbW                                                                   ",0,0,0,0,0,0,0,0,0,0,0,0
"DEZ-I  ",AMT-110,113005,"Pressearbeit                                                                                        ",1130,"Presse- und Öffentlichkeitsarbeit                                                                   ",11,"Innere Verwaltung                                                                                   ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","110 HPA/OB Büro/RIKP/NHM/PIWI/RbW                                                                   ",0,"-177476,4","-177476,4",0,-15290,-15290,0,"-205139,9","-205139,9",0,"-212189,5","-212189,5"
"DEZ-IV ",AMT-200,113200,"Festsetzung und Erhebung von Steuern                                                                ",1132,"Abgabewesen                                                                                         ",11,"Innere Verwaltung                                                                                   ","Dezernat IV BM Breiter                                                                              ",THH_17,"THH 17 Stadtkämmerei                                                                                ","200 Stadtkämmerei                                                                                   ","21327,5","-1279158,4","-1257830,9",12000,"-1293729,2","-1281729,2",12000,"-1283694,3","-1271694,3",12000,"-1315690,5","-1303690,5"
"DEZ-IV ",AMT-640,113301,"Grundstücksgesch./Verw.Erbbaurechten                                                                ",1133,"Grundstücksmanagement                                                                               ",11,"Innere Verwaltung                                                                                   ","Dezernat IV BM Breiter                                                                              ",THH_22,"THH 22 Amt f. Liegenschaften, Wgwesen                                                               ","640 Amt f. Liegenschaften, Wgwesen                                                                  ","11013081,6","-3239233,8","7773847,9",6694100,"-2091260,2","4602839,8",6449100,-2530723,3918377,14494100,"-2597886,6","11896213,4"
"DEZ-IV ",AMT-640,113304,"Verwaltung unbebauter Grundstücke                                                                   ",1133,"Grundstücksmanagement                                                                               ",11,"Innere Verwaltung                                                                                   ","Dezernat IV BM Breiter                                                                              ",THH_22,"THH 22 Amt f. Liegenschaften, Wgwesen                                                               ","640 Amt f. Liegenschaften, Wgwesen                                                                  ",2601497,"-1544642,2","1056854,9",943690,"-1238615,8","-294925,8","1682890,6","-1890170,9","-207280,2","1682876,2","-1938180,5","-255304,3"
"DEZ-IV ",AMT-120,121001,"Statistiken                                                                                         ",1210,"Statistik und Wahlen                                                                                ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_16,"THH 16 Amt f. Bürgerservice, Infover.                                                               ","120 Amt f. Bürgerservice, Infoman.                                                                  ","88690,3","-547520,8","-458830,4",581980,"-1130658,3","-548678,3",321880,-587358,-265478,81980,"-480190,2","-398210,2"
"DEZ-IV ",AMT-120,121003,"Vorbereit./Durchf.Wahlen/Abstimmungen                                                               ",1210,"Statistik und Wahlen                                                                                ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_16,"THH 16 Amt f. Bürgerservice, Infover.                                                               ","120 Amt f. Bürgerservice, Infoman.                                                                  ","658951,3","-1384117,8","-725166,4",30,"-206578,1","-206548,1",30,"-241755,7","-241725,7",220030,"-1303465,6","-1083435,6"
"DEZ-IV ",AMT-320,122001,"Fundsachen/Fundtiere                                                                                ",1220,"Ordnungswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_18,"THH 18 Amt f. öffentliche Ordnung                                                                   ","320 Amt f. öffentliche Ordnung                                                                      ",24930,"-486072,7","-461142,7",42400,"-539148,6","-496748,6",42400,"-539587,7","-497187,7",42400,"-545602,7","-503202,7"
"DEZ-IV ",AMT-320,122002,"Angelegenheiten der Gefahrenabwehr                                                                  ",1220,"Ordnungswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_18,"THH 18 Amt f. öffentliche Ordnung                                                                   ","320 Amt f. öffentliche Ordnung                                                                      ","322751,8","-1836752,7","-1514000,9",121500,"-1775796,9","-1654296,9",137500,-2471302,-2333802,137500,"-2580145,3","-2442645,3"
"DEZ-IV ",AMT-340,122002,"Angelegenheiten der Gefahrenabwehr                                                                  ",1220,"Ordnungswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_19,"THH 19 Standesamt                                                                                   ","340 Standesamt                                                                                      ","283072,3","-401460,6","-118388,3",179480,"-350242,8","-170762,8",200000,"-462015,3","-262015,3",200000,-478033,-278033
DEZ-III,AMT-500,122002,"Kriminalprävention/Heimaufsicht                                                                     ",1220,"Ordnungswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat III EBM von Kirchbach                                                                      ",THH_13,"THH 13 Amt für Soziales                                                                             ","500 Amt für Soziales                                                                                ","20029,8","-329203,8",-309174,"4,9","-264570,6","-264565,6","4,4",-265599,"-265594,5","4,4","-273729,2","-273724,8"
DEZ-III,AMT-540,122002,"Gefahrenabwehr / Wegbegleiter                                                                       ",1220,"Ordnungswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat III EBM von Kirchbach                                                                      ",THH_14,"THH 14 Amt f. Migration und Integration                                                             ","540 Amt f. Migration und Integration                                                                ","154,4","-109109,1","-108954,7",0,-106270,-106270,1299,"-107997,9","-106698,9","1454,6","-112003,8","-110549,2"
"DEZ-II ",AMT-820,122003,"Jagd- und Fischereiwesen                                                                            ",1220,"Ordnungswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat II BMin Buchheit                                                                           ",THH_10,"THH 10 Forstamt                                                                                     ","820 Forstamt                                                                                        ","27834,2",-21539,"6295,2","16195,1","-30748,6","-14553,5","16152,4","-18451,4",-2299,"16152,4","-18902,2","-2749,8"
"DEZ-IV ",AMT-320,122004,"Gewerbeangelegenheiten und Gaststätten                                                              ",1220,"Ordnungswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_18,"THH 18 Amt f. öffentliche Ordnung                                                                   ","320 Amt f. öffentliche Ordnung                                                                      ","222127,2","-760694,7","-538567,5",358000,"-806970,2","-448970,2",358000,"-1134758,3","-776758,3",358000,"-1159277,2","-801277,2"
"DEZ-V  ",AMT-660,122101,"Straßenverkehrsbehörde                                                                              ",1221,"Verkehrswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","1052060,2",-1538578,"-486517,8","1052759,7","-1687608,3","-634848,6","1052503,8","-1479373,2","-426869,4","1052510,1","-1587264,6","-534754,5"
"DEZ-IV ",AMT-320,122102,"Verkehrsre./straßenre.Genehmig./Erlaubn.                                                            ",1221,"Verkehrswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_18,"THH 18 Amt f. öffentliche Ordnung                                                                   ","320 Amt f. öffentliche Ordnung                                                                      ",-53345,"-210225,9","-263570,9",229000,"-219524,2","9475,8",229000,"-333147,2","-104147,2",229000,"-344159,7","-115159,7"
"DEZ-IV ",AMT-320,122103,"Überwachung des ruhenden Verkehrs                                                                   ",1221,"Verkehrswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_18,"THH 18 Amt f. öffentliche Ordnung                                                                   ","320 Amt f. öffentliche Ordnung                                                                      ","2666191,1","-2804598,6","-138407,5",3099000,"-3324371,3","-225371,3",3629000,"-3189953,6","439046,4",3629000,"-3218728,2","410271,8"
"DEZ-IV ",AMT-320,122104,"Überwachung des fließenden Verkehrs                                                                 ",1221,"Verkehrswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_18,"THH 18 Amt f. öffentliche Ordnung                                                                   ","320 Amt f. öffentliche Ordnung                                                                      ","7059361,3","-3035991,7","4023369,6",9137000,-3398026,5738974,8827000,-3698791,5128209,9077000,-3821780,5255220
"DEZ-IV ",AMT-120,122105,"Verkehrswesen                                                                                       ",1221,"Verkehrswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_16,"THH 16 Amt f. Bürgerservice, Infover.                                                               ","120 Amt f. Bürgerservice, Infoman.                                                                  ","1369454,2","-1340252,8","29201,4",1530020,-1416279,113741,1456348,"-1495075,8","-38727,8",1452900,"-1466493,9","-13593,9"
"DEZ-IV ",AMT-320,122106,"Verkehrsgewerbe und Fahrerlaubnisse                                                                 ",1221,"Verkehrswesen                                                                                       ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_18,"THH 18 Amt f. öffentliche Ordnung                                                                   ","320 Amt f. öffentliche Ordnung                                                                      ","376252,9","-1254407,6","-878154,7",423700,"-1309120,8","-885420,8",473700,"-1254865,1","-781165,1",473700,"-1209140,8","-735440,8"
"DEZ-IV ",AMT-340,122200,"Aufenthaltsbescheinigungen                                                                          ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_19,"THH 19 Standesamt                                                                                   ","340 Standesamt                                                                                      ",2163,"-3850,1","-1687,1",13300,"-8090,6","5209,4",0,0,0,0,0,0
"DEZ-IV ",AMT-120,122201,"Einwohnerwesen                                                                                      ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_16,"THH 16 Amt f. Bürgerservice, Infover.                                                               ","120 Amt f. Bürgerservice, Infoman.                                                                  ","2253994,3","-4671251,5","-2417257,2",6006820,"-4666345,2","1340474,8",6536494,"-4910939,1",1625555,6832660,"-5121019,6","1711640,4"
"DEZ-I  ",AMT-110,122204,"% Bürgerser./Ortsverw./Einh.A/And..Behö.                                                            ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","110 HPA/OB Büro/RIKP/NHM/PIWI/RbW                                                                   ",0,0,0,0,0,0,0,0,0,0,0,0
"DEZ-IV ",AMT-120,122204,"Bürgerservice                                                                                       ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_16,"THH 16 Amt f. Bürgerservice, Infover.                                                               ","120 Amt f. Bürgerservice, Infoman.                                                                  ","36441,6","-936072,5",-899631,22080,"-968736,8","-946656,8",22580,"-861898,9","-839318,9",22580,"-890231,1","-867651,1"
"DEZ-I  ",AMT-151,122204,"Bürgerservice                                                                                       ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","151 Ortsverw. Lehen                                                                                 ","8606,2","-90699,1","-82092,9",5590,"-69279,4","-63689,4",6170,"-98723,5","-92553,5",6170,"-101777,5","-95607,5"
"DEZ-I  ",AMT-152,122204,"Bürgerservice                                                                                       ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","152 Ortsverw. Opfingen                                                                              ","17461,1","-189425,8","-171964,8","14578,4","-168387,3","-153808,9","18948,4","-196811,6","-177863,2","18948,4","-199317,7","-180369,3"
"DEZ-I  ",AMT-153,122204,"Bürgerservice                                                                                       ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","153 Ortsverw. Waltershofen                                                                          ","10810,7","-196338,5","-185527,8","8954,4","-172214,9","-163260,5","9161,3","-174396,7","-165235,4",9160,"-175838,1","-166678,1"
"DEZ-I  ",AMT-154,122204,"Bürgerservice                                                                                       ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","154 Ortsverw. Tiengen                                                                               ","19804,6","-237260,8","-217456,2",12520,"-191100,7","-178580,7",12520,"-182525,5","-170005,5",12520,"-185619,1","-173099,1"
"DEZ-I  ",AMT-155,122204,"Bürgerservice                                                                                       ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","155 Ortsverw. Munzingen                                                                             ","15377,4","-211237,8","-195860,3",11700,"-189715,8","-178015,8",11700,"-241777,3","-230077,3",11700,"-247587,5","-235887,5"
"DEZ-I  ",AMT-156,122204,"Bürgerservice                                                                                       ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","156 Ortsverw. Hochdorf                                                                              ","19754,7","-226073,3","-206318,6",23050,"-203906,6","-180856,6",23050,"-219627,8","-196577,8",23050,"-212500,7","-189450,7"
"DEZ-I  ",AMT-157,122204,"Bürgerservice                                                                                       ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","157 Ortsverw. Ebnet                                                                                 ","8394,1","-159438,4","-151044,4",12431,"-153362,5","-140931,5",12431,"-157353,2","-144922,2",12431,"-157948,7","-145517,7"
"DEZ-I  ",AMT-158,122204,"Bürgerservice                                                                                       ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","158 Ortsverw. Kappel                                                                                ","8216,6","-172397,5","-164180,9",6360,"-147061,6","-140701,6","7120,7","-155415,7",-148295,"7120,7","-162090,9","-154970,2"
DEZ-III,AMT-540,122205,"Einbürgerungen/Festst.Staatsangehörigk.                                                             ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat III EBM von Kirchbach                                                                      ",THH_14,"THH 14 Amt f. Migration und Integration                                                             ","540 Amt f. Migration und Integration                                                                ","164816,6",-257208,"-92391,4","135454,4","-321690,8","-186236,5","340012,4","-755342,5","-415330,1","233537,4",-672998,"-439460,6"
DEZ-III,AMT-500,122206,"%Restaufgaben Lastenausgleich                                                                       ",1222,"%Einwohnerwesen                                                                                     ",12,"Sicherheit und Ordnung                                                                              ","Dezernat III EBM von Kirchbach                                                                      ",THH_13,"THH 13 Amt für Soziales                                                                             ","500 Amt für Soziales                                                                                ",0,0,0,0,0,0,0,0,0,0,0,0
DEZ-III,AMT-540,122207,"Aufenthaltsreg./Aufenthaltsbee. Maßnah.                                                             ",1222,"Einwohnerwesen                                                                                      ",12,"Sicherheit und Ordnung                                                                              ","Dezernat III EBM von Kirchbach                                                                      ",THH_14,"THH 14 Amt f. Migration und Integration                                                             ","540 Amt f. Migration und Integration                                                                ","713687,9","-2994983,6","-2281295,7","517145,6","-2861523,8","-2344378,2","804219,8","-2912276,4","-2108056,6","813144,3","-3159641,6","-2346497,3"
"DEZ-IV ",AMT-340,122300,"Personenstandswesen                                                                                 ",1223,"Personenstandswesen                                                                                 ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_19,"THH 19 Standesamt                                                                                   ","340 Standesamt                                                                                      ","713046,6","-1766132,6",-1053086,691610,"-1606586,9","-914976,9",623240,"-1577629,4","-954389,4",583430,"-1626779,4","-1043349,4"
"DEZ-IV ",AMT-120,122501,"Sozialversicherungsangelegenheiten                                                                  ",1225,"Sozialversicherung                                                                                  ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_16,"THH 16 Amt f. Bürgerservice, Infover.                                                               ","120 Amt f. Bürgerservice, Infoman.                                                                  ","1747,6","-188378,3","-186630,7",0,"-156997,4","-156997,4",0,"-159562,9","-159562,9",0,"-163557,2","-163557,2"
"DEZ-IV ",AMT-320,122601,"Lebensmittelüberw.u. Verbraucherschutz                                                              ",1226,"Verbr.schutz, Lebensmittelü., Veterinärw                                                            ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_18,"THH 18 Amt f. öffentliche Ordnung                                                                   ","320 Amt f. öffentliche Ordnung                                                                      ","22721,6","-725657,1","-702935,6",35000,"-728901,9","-693901,9","35180,8","-795488,3","-760307,4",29000,"-809434,8","-780434,8"
"DEZ-IV ",AMT-320,122603,"Überwachung der Fleischhygiene                                                                      ",1226,"Verbr.schutz, Lebensmittelü., Veterinärw                                                            ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_18,"THH 18 Amt f. öffentliche Ordnung                                                                   ","320 Amt f. öffentliche Ordnung                                                                      ","202578,9","-449182,1","-246603,2",222000,"-511754,4","-289754,4","223433,3","-513063,6","-289630,3",220500,"-523076,7","-302576,7"
"DEZ-IV ",AMT-320,122604,"Tiergesundheit u.Tierschutz(Veterinärw.)                                                            ",1226,"Verbr.schutz, Lebensmittelü., Veterinärw                                                            ",12,"Sicherheit und Ordnung                                                                              ","Dezernat IV BM Breiter                                                                              ",THH_18,"THH 18 Amt f. öffentliche Ordnung                                                                   ","320 Amt f. öffentliche Ordnung                                                                      ","9390,2",-130448,"-121057,9","9740,8",-147596,"-137855,2","23078,7","-180014,3","-156935,6","11240,8","-171180,2","-159939,4"
